size,deadline,id,crucial,category
4,100.0,512_0,1,bicycle
2,100.0,128_0,0,car
3,100.0,256_0,0,truck
4,100.0,512_1,0,person
1,100.0,64_0,0,car
4,100.0,512_2,0,truck
1,100.0,64_1,1,truck
1,100.0,64_2,0,bus
1,100.0,64_3,0,truck
2,100.0,128_1,1,bus
1,100.0,64_4,1,car
1,100.0,64_5,0,bicycle
4,100.0,512_3,0,bicycle
1,100.0,64_6,0,person
2,100.0,128_2,0,bus
1,100.0,64_7,0,car
4,100.0,512_4,0,person
1,100.0,64_8,0,person
2,100.0,128_3,0,truck
4,100.0,512_5,0,bicycle
2,100.0,128_4,0,car
4,100.0,512_6,0,bicycle
3,100.0,256_1,1,bus
2,100.0,128_5,0,car
2,100.0,128_6,0,person
3,100.0,256_2,0,bus
3,100.0,256_3,0,bicycle
3,100.0,256_4,1,bicycle
2,100.0,128_7,1,bicycle
3,100.0,256_5,0,truck
1,100.0,64_9,0,person
1,100.0,64_10,0,bus
4,100.0,512_7,1,bicycle
4,100.0,512_8,0,truck
4,100.0,512_9,0,bicycle
4,100.0,512_10,0,bus
3,100.0,256_6,1,bus
2,100.0,128_8,0,car
4,100.0,512_11,0,person
2,100.0,128_9,0,bicycle
1,100.0,64_11,0,car
3,100.0,256_7,0,bicycle
3,100.0,256_8,1,person
4,100.0,512_12,0,car
3,100.0,256_9,0,truck
3,100.0,256_10,0,truck
3,100.0,256_11,1,bicycle
4,100.0,512_13,0,bus
1,100.0,64_12,0,bus
1,100.0,64_13,0,bus
2,100.0,128_10,1,bus
4,100.0,512_14,0,bus
1,100.0,64_14,0,truck
4,100.0,512_15,0,car
2,100.0,128_11,1,person
1,100.0,64_15,0,bus
2,100.0,128_12,0,person
3,100.0,256_12,1,person
1,100.0,64_16,1,truck
1,100.0,64_17,1,person
3,100.0,256_13,0,truck
2,100.0,128_13,0,car
2,100.0,128_14,0,truck
4,100.0,512_16,0,car
3,100.0,256_14,0,bicycle
2,100.0,128_15,0,car
1,100.0,64_18,0,bicycle
2,100.0,128_16,0,person
2,100.0,128_17,0,truck
4,100.0,512_17,0,person
2,100.0,128_18,0,truck
4,100.0,512_18,1,car
1,100.0,64_19,0,person
3,100.0,256_15,0,bus
1,100.0,64_20,1,bus
1,100.0,64_21,0,bicycle
3,100.0,256_16,1,car
3,100.0,256_17,0,person
4,100.0,512_19,0,bus
1,100.0,64_22,1,truck
